Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"188399857520",Cartier Tank Louis 40X35mm WT200006 18K White Gold Unisex Watch,,18159,"1","FIXED_PRICE","USD",16325.0,,,16325.0,"0","1","0","May-19-26 08:39:56 PDT","Aug-19-26 08:39:56 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188399857784",cartier Laniere  WJ2005W3 18K White Gold Women's Watch,,18162,"1","FIXED_PRICE","USD",18840.0,,,18840.0,"0","5","0","May-19-26 08:40:22 PDT","Aug-19-26 08:40:22 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168386569514",Piaget Altiplano 38mm P10763 18K Rose Gold Unisex Watch,,18168,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","1","0","May-19-26 08:56:18 PDT","Aug-19-26 08:56:18 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188400452177",Cartier Baignoire 44x34mm WB520003 18K Rose Gold Women's Watch,,17623,"1","FIXED_PRICE","USD",40470.0,,,40470.0,"0","0","0","May-19-26 13:01:57 PDT","Aug-19-26 13:01:57 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157926869793",Patek Philippe Gondolo 25mm 4866/1J 18K Yellow Gold Women's Watch,,18197,"1","FIXED_PRICE","USD",19355.0,,,19355.0,"0","3","0","May-20-26 09:20:33 PDT","Aug-20-26 09:20:33 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157927294663",Cartier Tonneau  26mm WE400831 18K White Gold Women's Watch,,18223,"1","FIXED_PRICE","USD",22960.0,,,22960.0,"0","1","0","May-20-26 13:08:40 PDT","Aug-20-26 13:08:40 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168389694250",Chopard Happy Diamonds 25.8mm 4527 18K Rose Gold Women's Watch,,18187,"1","FIXED_PRICE","USD",6258.0,,,6258.0,"0","4","0","May-20-26 13:12:09 PDT","Aug-20-26 13:12:09 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157929755743",Cartier Ballon Bleu 36mm WE900651 18K White Gold Women's Watch,,16976,"1","FIXED_PRICE","USD",17295.0,,,17295.0,"0","1","0","May-21-26 09:16:32 PDT","Aug-21-26 09:16:32 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188435751183",Piaget Polo 34mm 7661C701 18K Yellow Gold Men's Watch,,18261,"1","FIXED_PRICE","USD",33260.0,,,33260.0,"0","9","0","May-28-26 08:53:45 PDT","Aug-28-26 08:53:45 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157949401574",Piaget Dancer 32mm 84023 K81 18K White Gold Unisex Watch,,18262,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","","","May-28-26 08:53:54 PDT","Aug-28-26 08:53:54 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168413310861",Cartier Diabolo 33mm W1507651 18K Yellow Gold Women's Watch,,18298,"1","FIXED_PRICE","USD",9570.0,,,9570.0,"0","1","0","May-29-26 09:23:29 PDT","Aug-29-26 09:23:29 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157952300200",Cartier Pasha 38mm W3014356 18K Yellow Gold Unisex Watch,,18299,"1","FIXED_PRICE","USD",14205.0,,,14205.0,"0","1","0","May-29-26 09:23:46 PDT","Aug-29-26 09:23:46 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157967316676",Patek Philippe Complications Annual Calendar 38mm 4948R-001 18K Gold Watch,,18350,"1","FIXED_PRICE","USD",69825.0,,,69825.0,"0","2","0","Jun-03-26 13:25:22 PDT","Aug-03-26 13:25:22 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188467256035",Cartier Dumont 38.5x30.3mm W2009251 18K Rose Gold Unisex Watch,,18317,"1","FIXED_PRICE","USD",10446.0,,,10446.0,"0","","","Jun-04-26 11:45:37 PDT","Aug-04-26 11:45:37 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188467257326",Cartier Santos Dumont 38x30mm W2009251 18K Rose Gold Men's Watch,,18325,"1","FIXED_PRICE","USD",10085.0,,,10085.0,"0","5","0","Jun-04-26 11:46:31 PDT","Aug-04-26 11:46:31 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188467409589",Patek Philippe Calatrava 31mm 7120R-001 18K Rose Gold Women's Watch,,18359,"1","FIXED_PRICE","USD",17295.0,,,17295.0,"0","1","0","Jun-04-26 12:30:01 PDT","Aug-04-26 12:30:01 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168431019617",Patek Philippe Gondolo 28mm 4868G 18K White Gold Women's Watch,,18356,"1","FIXED_PRICE","USD",11167.0,,,11167.0,"0","1","0","Jun-04-26 12:30:47 PDT","Aug-04-26 12:30:47 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157972123457",Patek Philippe Complications Travel Time 35mm 7134G-001 18K White Gold Watch,,18358,"1","FIXED_PRICE","USD",19664.0,,,19664.0,"0","10","0","Jun-05-26 07:11:42 PDT","Aug-05-26 07:11:42 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168433051953",Cartier Tank Solo 41x31mm W5200026 18K Rose Gold Unisex Watch,,18363,"1","FIXED_PRICE","USD",9055.0,,,9055.0,"0","4","0","Jun-05-26 07:12:39 PDT","Aug-05-26 07:12:39 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188470018043",Van Cleef and Arpels Alhambra Talisman 40mm VCARO30200 18K Gold Watch,,18365,"1","FIXED_PRICE","USD",19664.0,,,19664.0,"0","1","0","Jun-05-26 07:12:52 PDT","Aug-05-26 07:12:52 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168433056172",Bulgari/Bvlgari Serpenti Spiga 35×23mm SPC35WG Ceramic Women's Watch,,18381,"1","FIXED_PRICE","USD",10188.0,,,10188.0,"0","8","0","Jun-05-26 07:16:10 PDT","Aug-05-26 07:16:10 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157984146802",Cartier Roadster 44x38.5mm W62031Y4 Stainless Steel Unisex Watch,,18420,"1","FIXED_PRICE","USD",8128.0,,,8128.0,"0","4","0","Jun-09-26 06:23:28 PDT","Aug-09-26 06:23:28 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168444234826",Cartier Tank Solo 31x24mm W5200002 18K Yellow Gold Women's Watch,,18423,"1","FIXED_PRICE","USD",6684.0,,,6684.0,"0","1","0","Jun-09-26 06:26:04 PDT","Aug-09-26 06:26:04 PDT","Wristwatches","31387","","","USED","","","","","","US","","",""
"188488009765",Cartier Tank Solo 24x31mm W5200024 18K Gold/Stainless  Watch+,,18395,"1","FIXED_PRICE","USD",7163.0,,,7163.0,"0","2","0","Jun-09-26 06:26:29 PDT","Aug-09-26 06:26:29 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188488043082",Zenith El Primero 21 44mm El Primero 21 Titanium Men's Watch,,18403,"1","FIXED_PRICE","USD",10343.0,,,10343.0,"0","2","0","Jun-09-26 06:30:09 PDT","Aug-09-26 06:30:09 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
